ano_campeonato,data,time_mandante,gols_mandante
2015,2015-05-10,São Paulo,2
2015,2015-05-23,São Paulo,3
2015,2015-06-04,São Paulo,3
2015,2015-06-07,São Paulo,2
2015,2015-06-21,São Paulo,1
2015,2015-07-05,São Paulo,0
2015,2015-07-12,São Paulo,3
2015,2015-07-26,São Paulo,1
2015,2015-08-09,São Paulo,1
2015,2015-08-16,São Paulo,0
2015,2015-08-30,São Paulo,3
2015,2015-09-06,São Paulo,2
2015,2015-09-18,São Paulo,0
2015,2015-09-27,São Paulo,1
2015,2015-10-04,São Paulo,1
2015,2015-10-18,São Paulo,2
2015,2015-10-31,São Paulo,3
2015,2015-11-20,São Paulo,4
2015,2015-11-28,São Paulo,3
2008,2008-05-10,São Paulo,0
2008,2008-06-07,São Paulo,5
2008,2008-06-21,São Paulo,1
2008,2008-07-06,São Paulo,1
2008,2008-07-13,São Paulo,2
2008,2008-07-20,São Paulo,2
2008,2008-07-27,São Paulo,3
2008,2008-08-03,São Paulo,4
2008,2008-08-31,São Paulo,0
2008,2008-09-14,São Paulo,2
2008,2008-09-28,São Paulo,2
2008,2008-10-09,São Paulo,1
2008,2008-11-02,São Paulo,3
2008,2008-11-30,São Paulo,1
2008,2008-05-25,São Paulo,1
2008,2008-08-09,São Paulo,2
2008,2008-08-20,São Paulo,3
2008,2008-10-23,São Paulo,2
2008,2008-11-16,São Paulo,3
2024,2024-06-30,São Paulo,3
2024,2024-07-07,São Paulo,2
2024,2024-07-18,São Paulo,1
2024,2024-07-25,São Paulo,2
2024,2024-08-04,São Paulo,1
2024,2024-05-14,São Paulo,2
2024,2024-06-28,São Paulo,2
2024,2024-08-25,São Paulo,2
2024,2024-04-14,São Paulo,1
2024,2024-06-02,São Paulo,2
2024,2024-08-11,São Paulo,1
2024,2024-10-17,São Paulo,3
2024,2024-09-22,São Paulo,1
2024,2024-09-29,São Paulo,3
2024,2024-04-30,São Paulo,0
2019,2019-08-10,São Paulo,3
2019,2019-08-18,São Paulo,1
2019,2019-08-31,São Paulo,0
2019,2019-09-16,São Paulo,1
2019,2019-09-26,São Paulo,0
2019,2019-10-05,São Paulo,2
2019,2019-10-27,São Paulo,2
2019,2019-11-07,São Paulo,0
2019,2019-11-28,São Paulo,1
2019,2019-12-04,São Paulo,2
2019,2019-05-19,São Paulo,0
2019,2019-10-13,São Paulo,1
2019,2019-11-10,São Paulo,0
2019,2019-04-27,São Paulo,2
2019,2019-05-05,São Paulo,1
2019,2019-10-20,São Paulo,1
2019,2019-07-23,São Paulo,4
2019,2019-06-02,São Paulo,1
2019,2019-07-14,São Paulo,1
2022,2022-04-11,São Paulo,4
2022,2022-06-12,São Paulo,1
2022,2022-06-19,São Paulo,1
2022,2022-06-26,São Paulo,0
2022,2022-08-14,São Paulo,3
2022,2022-09-26,São Paulo,4
2022,2022-10-21,São Paulo,3
2022,2022-10-09,São Paulo,0
2022,2022-10-28,São Paulo,2
2022,2022-05-03,São Paulo,2
2022,2022-05-15,São Paulo,2
2022,2022-05-29,São Paulo,2
2022,2022-07-17,São Paulo,2
2022,2022-08-07,São Paulo,0
2022,2022-08-28,São Paulo,0
2022,2022-09-11,São Paulo,1
2022,2022-11-02,São Paulo,2
2022,2022-11-09,São Paulo,0
2022,2022-07-24,São Paulo,3
2023,2023-11-09,São Paulo,1
2023,2023-04-22,São Paulo,3
2023,2023-05-07,São Paulo,2
2023,2023-07-01,São Paulo,1
2023,2023-07-30,São Paulo,0
2023,2023-08-19,São Paulo,0
2023,2023-10-21,São Paulo,3
2023,2023-11-03,São Paulo,1
2023,2023-11-26,São Paulo,0
2023,2023-12-07,São Paulo,1
2023,2023-05-28,São Paulo,2
2023,2023-06-22,São Paulo,2
2023,2023-07-16,São Paulo,4
2023,2023-09-28,São Paulo,2
2023,2023-09-30,São Paulo,2
2023,2023-05-20,São Paulo,4
2023,2023-06-11,São Paulo,0
2023,2023-08-06,São Paulo,0
2023,2023-09-21,São Paulo,1
2010,2010-05-26,São Paulo,1
2010,2010-07-14,São Paulo,1
2010,2010-07-31,São Paulo,2
2010,2010-09-25,São Paulo,0
2010,2010-08-25,São Paulo,0
2010,2010-11-07,São Paulo,0
2010,2010-11-21,São Paulo,1
2010,2010-05-16,São Paulo,1
2010,2010-06-06,São Paulo,3
2010,2010-07-21,São Paulo,1
2010,2010-08-15,São Paulo,2
2010,2010-09-02,São Paulo,2
2010,2010-09-16,São Paulo,1
2010,2010-09-22,São Paulo,2
2010,2010-10-28,São Paulo,2
2010,2010-10-06,São Paulo,2
2010,2010-09-08,São Paulo,2
2010,2010-10-17,São Paulo,4
2010,2010-12-05,São Paulo,4
2004,2004-04-23,São Paulo,1
2004,2004-04-29,São Paulo,1
2004,2004-07-03,São Paulo,2
2004,2004-07-07,São Paulo,1
2004,2004-07-24,São Paulo,1
2004,2004-08-12,São Paulo,4
2004,2004-08-20,São Paulo,2
2004,2004-09-11,São Paulo,0
2004,2004-09-29,São Paulo,7
2004,2004-10-24,São Paulo,1
2004,2004-05-30,São Paulo,1
2004,2004-07-18,São Paulo,2
2004,2004-08-06,São Paulo,2
2004,2004-10-02,São Paulo,2
2004,2004-05-16,São Paulo,2
2004,2004-06-12,São Paulo,3
2004,2004-10-28,São Paulo,4
2004,2004-08-28,São Paulo,3
2004,2004-09-02,São Paulo,2
2005,2005-07-23,São Paulo,0
2005,2005-08-07,São Paulo,0
2005,2005-04-30,São Paulo,1
2005,2005-05-14,São Paulo,1
2005,2005-05-28,São Paulo,1
2005,2005-06-19,São Paulo,1
2005,2005-06-25,São Paulo,1
2005,2005-08-25,São Paulo,1
2005,2005-10-25,São Paulo,1
2005,2005-10-23,São Paulo,1
2005,2005-10-28,São Paulo,1
2005,2005-07-09,São Paulo,2
2005,2005-11-02,São Paulo,2
2005,2005-08-05,São Paulo,3
2005,2005-08-14,São Paulo,3
2005,2005-10-12,São Paulo,3
2005,2005-11-05,São Paulo,3
2005,2005-09-18,São Paulo,4
2005,2005-09-24,São Paulo,4
2021,2021-05-30,São Paulo,0
2021,2021-06-17,São Paulo,1
2021,2021-06-24,São Paulo,2
2021,2021-07-04,São Paulo,1
2021,2021-07-11,São Paulo,1
2021,2021-07-17,São Paulo,0
2021,2021-08-01,São Paulo,0
2021,2021-08-15,São Paulo,2
2021,2021-09-23,São Paulo,0
2021,2021-09-19,São Paulo,2
2021,2021-09-26,São Paulo,0
2021,2021-10-07,São Paulo,1
2021,2021-10-15,São Paulo,1
2021,2021-10-19,São Paulo,1
2021,2021-10-31,São Paulo,1
2021,2021-11-14,São Paulo,0
2021,2021-11-25,São Paulo,0
2021,2021-11-28,São Paulo,2
2021,2021-12-06,São Paulo,3
2017,2017-05-23,São Paulo,2
2017,2017-05-28,São Paulo,2
2017,2017-06-09,São Paulo,2
2017,2017-06-18,São Paulo,1
2017,2017-06-25,São Paulo,1
2017,2017-07-14,São Paulo,2
2017,2017-07-20,São Paulo,1
2017,2017-07-25,São Paulo,1
2017,2017-08-04,São Paulo,1
2017,2017-08-13,São Paulo,3
2017,2017-09-10,São Paulo,2
2017,2017-09-24,São Paulo,1
2017,2017-10-01,São Paulo,1
2017,2017-12-03,São Paulo,1
2017,2017-10-15,São Paulo,2
2017,2017-10-22,São Paulo,2
2017,2017-10-28,São Paulo,2
2017,2017-11-09,São Paulo,2
2017,2017-11-19,São Paulo,0
2007,2007-05-03,São Paulo,2
2007,2007-06-17,São Paulo,2
2007,2007-08-11,São Paulo,2
2007,2007-10-31,São Paulo,3
2007,2007-05-27,São Paulo,0
2007,2007-06-10,São Paulo,0
2007,2007-07-04,São Paulo,1
2007,2007-07-07,São Paulo,0
2007,2007-07-19,São Paulo,0
2007,2007-07-27,São Paulo,3
2007,2007-08-02,São Paulo,3
2007,2007-08-26,São Paulo,5
2007,2007-09-01,São Paulo,6
2007,2007-09-15,São Paulo,2
2007,2007-09-22,São Paulo,2
2007,2007-10-07,São Paulo,0
2007,2007-10-21,São Paulo,1
2007,2007-11-11,São Paulo,1
2007,2007-11-25,São Paulo,2
2013,2013-09-13,São Paulo,1
2013,2013-05-30,São Paulo,5
2013,2013-06-06,São Paulo,0
2013,2013-07-07,São Paulo,0
2013,2013-07-20,São Paulo,0
2013,2013-07-25,São Paulo,0
2013,2013-09-06,São Paulo,1
2013,2013-09-29,São Paulo,0
2013,2013-10-13,São Paulo,0
2013,2013-11-14,São Paulo,2
2013,2013-12-08,São Paulo,0
2013,2013-07-11,São Paulo,1
2013,2013-08-16,São Paulo,1
2013,2013-09-19,São Paulo,1
2013,2013-10-06,São Paulo,3
2013,2013-10-17,São Paulo,3
2013,2013-11-02,São Paulo,2
2013,2013-11-24,São Paulo,1
2013,2013-08-25,São Paulo,2
2009,2009-06-27,São Paulo,2
2009,2009-07-19,São Paulo,2
2009,2009-07-30,São Paulo,2
2009,2009-08-09,São Paulo,3
2009,2009-08-19,São Paulo,1
2009,2009-08-30,São Paulo,0
2009,2009-09-12,São Paulo,2
2009,2009-10-28,São Paulo,1
2009,2009-10-31,São Paulo,1
2009,2009-11-14,São Paulo,2
2009,2009-12-06,São Paulo,4
2009,2009-05-31,São Paulo,3
2009,2009-08-05,São Paulo,3
2009,2009-09-27,São Paulo,1
2009,2009-10-17,São Paulo,0
2009,2009-05-17,São Paulo,2
2009,2009-06-13,São Paulo,1
2009,2009-07-12,São Paulo,2
2009,2009-10-07,São Paulo,2
2020,2020-08-14,São Paulo,1
2020,2020-09-10,São Paulo,1
2020,2020-08-27,São Paulo,1
2020,2020-10-08,São Paulo,3
2020,2020-10-18,São Paulo,0
2020,2020-12-10,São Paulo,4
2020,2020-12-06,São Paulo,1
2020,2020-12-17,São Paulo,3
2020,2021-01-10,São Paulo,0
2020,2021-01-23,São Paulo,1
2020,2021-02-20,São Paulo,1
2020,2021-02-11,São Paulo,1
2020,2021-02-25,São Paulo,2
2020,2020-08-21,São Paulo,1
2020,2020-08-30,São Paulo,2
2020,2020-09-06,São Paulo,3
2020,2020-11-07,São Paulo,2
2020,2020-11-22,São Paulo,1
2020,2021-01-21,São Paulo,1
2016,2016-05-29,São Paulo,1
2016,2016-06-12,São Paulo,1
2016,2016-06-16,São Paulo,2
2016,2016-06-24,São Paulo,0
2016,2016-06-30,São Paulo,2
2016,2016-07-10,São Paulo,3
2016,2016-08-14,São Paulo,0
2016,2016-08-29,São Paulo,0
2016,2016-09-11,São Paulo,3
2016,2016-09-16,São Paulo,1
2016,2016-10-01,São Paulo,0
2016,2016-10-13,São Paulo,0
2016,2016-10-22,São Paulo,2
2016,2016-11-05,São Paulo,4
2016,2016-11-17,São Paulo,1
2016,2016-12-11,São Paulo,5
2016,2016-05-22,São Paulo,1
2016,2016-07-31,São Paulo,2
2016,2016-08-04,São Paulo,1
2012,2012-05-27,São Paulo,1
2012,2012-07-18,São Paulo,0
2012,2012-08-05,São Paulo,1
2012,2012-09-23,São Paulo,1
2012,2012-11-04,São Paulo,1
2012,2012-11-18,São Paulo,2
2012,2012-06-10,São Paulo,1
2012,2012-06-17,São Paulo,1
2012,2012-08-12,São Paulo,1
2012,2012-08-30,São Paulo,4
2012,2012-09-05,São Paulo,1
2012,2012-09-15,São Paulo,3
2012,2012-07-08,São Paulo,3
2012,2012-07-29,São Paulo,4
2012,2012-08-18,São Paulo,3
2012,2012-10-06,São Paulo,3
2012,2012-10-14,São Paulo,2
2012,2012-10-18,São Paulo,2
2012,2012-12-02,São Paulo,3
2011,2011-05-28,São Paulo,1
2011,2011-07-09,São Paulo,2
2011,2011-07-31,São Paulo,0
2011,2011-10-23,São Paulo,0
2011,2011-11-12,São Paulo,2
2011,2011-11-19,São Paulo,3
2011,2011-12-04,São Paulo,4
2011,2011-08-04,São Paulo,3
2011,2011-08-21,São Paulo,1
2011,2011-09-17,São Paulo,4
2011,2011-09-21,São Paulo,0
2011,2011-10-02,São Paulo,1
2011,2011-10-12,São Paulo,0
2011,2011-06-11,São Paulo,3
2011,2011-07-23,São Paulo,2
2011,2011-08-13,São Paulo,2
2011,2011-08-31,São Paulo,1
2011,2011-09-07,São Paulo,2
2011,2011-06-29,São Paulo,0
2006,2006-07-13,São Paulo,1
2006,2006-08-20,São Paulo,3
2006,2006-10-08,São Paulo,0
2006,2006-10-21,São Paulo,2
2006,2006-11-05,São Paulo,2
2006,2006-11-12,São Paulo,5
2006,2006-04-16,São Paulo,1
2006,2006-05-06,São Paulo,4
2006,2006-05-28,São Paulo,1
2006,2006-07-30,São Paulo,2
2006,2006-08-05,São Paulo,2
2006,2006-08-27,São Paulo,2
2006,2006-09-24,São Paulo,1
2006,2006-10-14,São Paulo,1
2006,2006-11-04,São Paulo,5
2006,2006-05-21,São Paulo,1
2006,2006-06-01,São Paulo,4
2006,2006-09-17,São Paulo,3
2006,2006-09-30,São Paulo,0
2018,2018-04-17,São Paulo,1
2018,2018-05-06,São Paulo,2
2018,2018-05-20,São Paulo,1
2018,2018-05-31,São Paulo,3
2018,2018-06-06,São Paulo,0
2018,2018-06-13,São Paulo,3
2018,2018-07-22,São Paulo,3
2018,2018-08-05,São Paulo,2
2018,2018-09-02,São Paulo,1
2018,2018-09-22,São Paulo,1
2018,2018-11-15,São Paulo,1
2018,2018-08-20,São Paulo,2
2018,2018-11-04,São Paulo,2
2018,2018-11-26,São Paulo,0
2018,2018-08-26,São Paulo,1
2018,2018-09-09,São Paulo,1
2018,2018-10-21,São Paulo,0
2018,2018-10-06,São Paulo,0
2018,2018-11-18,São Paulo,1
2014,2014-05-11,São Paulo,1
2014,2014-05-25,São Paulo,1
2014,2014-07-19,São Paulo,0
2014,2014-08-02,São Paulo,1
2014,2014-09-28,São Paulo,1
2014,2014-11-13,São Paulo,1
2014,2014-11-30,São Paulo,1
2014,2014-05-03,São Paulo,2
2014,2014-05-31,São Paulo,2
2014,2014-08-24,São Paulo,2
2014,2014-09-14,São Paulo,2
2014,2014-09-25,São Paulo,2
2014,2014-10-09,São Paulo,1
2014,2014-10-18,São Paulo,2
2014,2014-11-16,São Paulo,2
2014,2014-04-20,São Paulo,3
2014,2014-09-07,São Paulo,2
2014,2014-10-27,São Paulo,3
2014,2014-08-10,São Paulo,3
2003,2003-05-18,São Paulo,2
2003,2003-06-21,São Paulo,1
2003,2003-07-18,São Paulo,2
2003,2003-08-16,São Paulo,0
2003,2003-08-30,São Paulo,1
2003,2003-10-12,São Paulo,3
2003,2003-04-18,São Paulo,3
2003,2003-04-20,São Paulo,3
2003,2003-07-05,São Paulo,1
2003,2003-08-09,São Paulo,3
2003,2003-09-27,São Paulo,3
2003,2003-05-04,São Paulo,3
2003,2003-06-08,São Paulo,2
2003,2003-07-25,São Paulo,1
2003,2003-08-02,São Paulo,0
2003,2003-09-21,São Paulo,2
2003,2003-10-04,São Paulo,1
2003,2003-10-24,São Paulo,3
2003,2003-04-06,São Paulo,2
